text,label
"lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .",1
consistently clever and suspenseful .,1
"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .",1
"the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .",1
"red dragon "" never cuts corners .",1
fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .,1
throws in enough clever and unexpected twists to make the formula feel fresh .,1
weighty and ponderous but every bit as filling as the treat of the title .,1
"a real audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .",1
generates an enormous feeling of empathy for its characters .,1
exposing the ways we fool ourselves is one hour photo's real strength .,1
"it's up to you to decide whether to admire these people's dedication to their cause or be repelled by their dogmatism , manipulativeness and narrow , fearful view of american life .",1
"mostly , [goldbacher] just lets her complicated characters be unruly , confusing and , through it all , human .",1
. . . quite good at providing some good old fashioned spooks .,1
"at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .",1
scherfig's light-hearted profile of emotional desperation is achingly honest and delightfully cheeky .,1
"a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick , and our hearts go out to them as both continue to negotiate their imperfect , love-hate relationship .",1
"the wonderfully lush morvern callar is pure punk existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh's book trainspotting .",1
"as it turns out , you can go home again .",1
"you've already seen city by the sea under a variety of titles , but it's worth yet another visit .",1
"this kind of hands-on storytelling is ultimately what makes shanghai ghetto move beyond a good , dry , reliable textbook and what allows it to rank with its worthy predecessors .",1
"making such a tragedy the backdrop to a love story risks trivializing it , though chouraqui no doubt intended the film to affirm love's power to help people endure almost unimaginable horror .",1
"grown-up quibbles are beside the point here . the little girls understand , and mccracken knows that's all that matters .",1
"a powerful , chilling , and affecting study of one man's dying fall .",1
this is a fascinating film because there is no clear-cut hero and no all-out villain .,1
"a dreadful day in irish history is given passionate , if somewhat flawed , treatment .",1
. . . a good film that must have baffled the folks in the marketing department .,1
". . . is funny in the way that makes you ache with sadness ( the way chekhov is funny ) , profound without ever being self-important , warm without ever succumbing to sentimentality .",1
"devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking .",1
a soul-stirring documentary about the israeli/palestinian conflict as revealed through the eyes of some children who remain curious about each other against all odds .,1
what's so striking about jolie's performance is that she never lets her character become a caricature -- not even with that radioactive hair .,1
"the main story . . . is compelling enough , but it's difficult to shrug off the annoyance of that chatty fish .",1
"the performances are immaculate , with roussillon providing comic relief .",1
kinnear . . . gives his best screen performance with an oddly winning portrayal of one of life's ultimate losers .,1
"hugh grant , who has a good line in charm , has never been more charming than in about a boy .",1
there's a lot of tooth in roger dodger . but what's nice is that there's a casual intelligence that permeates the script .,1
"reminiscent of alfred hitchcock's thrillers , most of the scary parts in 'signs' occur while waiting for things to happen .",1
one of the best looking and stylish animated movies in quite a while . . .,1
"its use of the thriller form to examine the labyrinthine ways in which people's lives cross and change , buffeted by events seemingly out of their control , is intriguing , provocative stuff .",1
denver should not get the first and last look at one of the most triumphant performances of vanessa redgrave's career . it deserves to be seen everywhere .,1
"you needn't be steeped in '50s sociology , pop culture or movie lore to appreciate the emotional depth of haynes' work . though haynes' style apes films from the period . . . its message is not rooted in that decade .",1
waiting for godard can be fruitful : 'in praise of love' is the director's epitaph for himself .,1
a gangster movie with the capacity to surprise .,1
"the film has a laundry list of minor shortcomings , but the numerous scenes of gory mayhem are worth the price of admission . . . if "" gory mayhem "" is your idea of a good time .",1
"if not a home run , then at least a solid base hit .",1
goldmember is funny enough to justify the embarrassment of bringing a barf bag to the moviehouse .,1
. . . a fairly disposable yet still entertaining b picture .,1
"it may not be particularly innovative , but the film's crisp , unaffected style and air of gentle longing make it unexpectedly rewarding .",1
the film truly does rescue [the funk brothers] from motown's shadows . it's about time .,1
"drawing on an irresistible , languid romanticism , byler reveals the ways in which a sultry evening or a beer-fueled afternoon in the sun can inspire even the most retiring heart to venture forth .",1
"works because we're never sure if ohlinger's on the level or merely a dying , delusional man trying to get into the history books before he croaks .",1
